seed,p0,p1,p2,p3,avg,income0,income1,income2,income3,money0,money1,money2,money3,canal_income0,canal_income1,canal_income2,canal_income3
355,80,85,95,106,91.50,5,21,5,18,15,17,9,26,-1,9,2,10
356,68,73,79,79,74.75,9,5,11,17,5,14,8,22,3,3,5,7
357,88,81,66,66,75.25,9,14,6,7,16,10,22,22,3,9,-5,5
358,53,73,58,78,65.50,4,12,4,13,30,22,37,8,7,5,-2,4
359,98,91,46,105,85.00,11,15,16,-1,16,32,13,24,-2,5,2,5
360,48,77,51,74,62.50,9,12,12,13,4,33,27,14,2,8,0,2
361,86,74,84,41,71.25,-5,1,9,-5,18,14,37,19,2,4,-1,8
362,69,64,62,61,64.00,-1,11,12,-4,19,32,8,31,3,7,4,1
363,59,79,60,76,68.50,13,8,10,4,19,12,11,15,3,3,-2,2
364,55,27,77,91,62.50,3,-9,10,2,14,11,34,24,7,-5,11,-2
365,123,109,129,80,110.25,11,23,4,4,21,1,21,34,3,6,4,1
366,80,75,50,113,79.50,12,4,9,17,40,25,2,30,4,4,-6,8
367,35,35,87,49,51.50,11,1,13,15,20,18,2,30,-6,-2,4,10
368,84,107,75,77,85.75,16,13,1,16,27,37,17,23,6,-2,1,1
369,40,34,86,44,51.00,3,3,3,9,15,25,11,7,3,-6,2,5
370,80,57,76,73,71.50,7,4,10,-5,34,38,1,18,6,3,4,-3
371,74,89,71,80,78.50,1,4,3,1,14,40,32,9,-1,11,1,1
372,79,51,90,91,77.75,2,15,12,15,20,33,9,54,5,1,8,10
373,58,42,44,76,55.00,9,-2,-2,5,33,19,19,11,5,-1,6,3
374,76,56,36,32,50.00,17,6,9,5,36,34,21,36,10,5,2,-4
375,51,64,87,69,67.75,14,13,14,0,19,18,6,6,4,4,2,3
376,106,64,73,41,71.00,16,-2,13,10,20,27,11,1,5,3,5,-1
377,106,92,63,91,88.00,5,10,6,15,7,27,11,7,4,11,5,7
378,83,115,78,21,74.25,4,21,-2,-8,52,41,35,0,6,11,3,1
379,68,69,99,85,80.25,2,12,16,11,6,21,22,16,-5,3,10,3
380,91,50,73,91,76.25,12,-3,0,10,11,24,12,46,7,4,6,6
381,105,89,87,68,87.25,10,16,-1,4,15,31,7,15,7,12,5,5
382,74,98,88,107,91.75,7,12,7,18,34,34,39,47,8,7,0,4
383,92,56,3,79,57.50,5,12,-8,19,19,15,0,14,4,7,-5,1
384,59,90,92,69,77.50,4,6,3,4,9,38,6,9,1,8,1,2
385,94,87,95,74,87.50,13,8,14,1,26,16,15,29,12,9,8,7
386,87,94,97,114,98.00,1,16,18,15,9,34,45,10,5,8,10,4
387,66,50,71,51,59.50,5,-1,2,15,26,27,14,31,3,0,-2,4
388,75,70,93,67,76.25,15,1,12,14,37,11,2,32,2,4,7,1
389,61,96,84,123,91.00,10,14,22,11,19,21,14,13,5,1,9,8
390,71,104,88,97,90.00,10,13,20,16,19,21,7,18,2,1,9,3
391,100,55,126,103,96.00,13,15,13,11,15,13,32,30,3,11,4,6
392,50,73,86,98,76.75,12,1,15,14,12,23,15,31,2,6,5,6
393,47,70,81,70,67.00,-8,13,15,14,9,10,44,23,-4,4,8,6
394,79,86,60,52,69.25,7,21,8,2,9,26,9,2,6,10,-4,2
395,75,84,73,64,74.00,8,16,9,4,6,37,22,21,4,5,1,2
396,111,92,49,76,82.00,25,1,-1,13,91,25,14,16,12,6,1,-1
397,77,114,95,63,87.25,3,14,10,17,20,14,19,29,3,7,6,8
398,65,70,74,87,74.00,16,-2,5,0,12,34,17,19,6,0,8,9
399,100,97,86,57,85.00,22,18,-2,0,34,24,12,16,4,9,3,4
400,67,54,63,61,61.25,2,3,15,12,23,10,13,13,6,-3,5,5
401,37,48,103,96,71.00,15,4,17,15,14,8,20,23,5,-2,5,7
402,86,80,53,62,70.25,12,12,7,8,20,17,16,26,2,2,3,6
403,5,50,68,100,55.75,-9,7,0,11,0,15,14,18,-9,8,7,9
404,68,60,91,123,85.50,12,5,11,10,62,28,19,10,3,1,-2,3
405,82,110,82,62,84.00,9,13,12,12,35,36,3,31,1,8,2,5
406,88,101,63,74,81.50,4,11,5,16,17,15,18,16,4,6,4,8
407,78,79,70,40,66.75,3,14,3,-5,0,20,24,11,0,8,5,-1
408,65,36,38,62,50.25,12,2,2,13,35,35,17,34,5,-6,4,9
409,79,89,78,78,81.00,-4,-5,9,5,24,9,22,21,2,5,3,3
410,80,81,95,75,82.75,20,12,13,12,30,41,22,12,10,6,7,-1
411,86,65,62,69,70.50,6,14,13,16,15,16,5,20,5,6,-2,10
412,131,71,111,67,95.00,3,20,9,1,15,23,2,12,6,3,2,-1
413,40,65,72,80,64.25,2,8,13,-3,3,18,13,31,-5,3,5,3
414,72,65,72,102,77.75,16,14,-7,8,19,16,0,18,8,2,-2,4
415,63,117,109,54,85.75,8,11,20,6,20,12,36,9,5,5,5,-1
416,81,70,61,77,72.25,14,6,12,11,14,3,11,14,2,3,2,8
417,91,52,71,63,69.25,16,9,-1,11,22,32,33,18,7,2,4,3
418,63,59,77,0,49.75,-6,9,14,-9,16,19,9,0,2,2,3,-6
419,52,80,71,73,69.00,7,19,-4,5,20,19,25,15,4,12,5,-2
420,74,92,82,101,87.25,21,12,2,9,35,49,12,27,10,2,2,7
421,134,62,77,105,94.50,4,13,13,8,19,14,9,23,2,1,0,8
422,86,80,166,66,99.50,22,15,12,0,4,3,16,27,6,-1,4,1
423,34,120,68,67,72.25,4,17,-8,12,7,57,26,10,3,12,1,8
424,78,80,56,83,74.25,1,20,17,5,29,32,14,21,7,1,8,5
425,82,75,61,90,77.00,9,-1,15,8,31,11,46,13,2,6,7,0
426,90,30,25,64,52.25,15,7,-9,-5,12,3,0,31,8,-3,-2,2
427,88,95,70,106,89.75,10,7,12,-3,7,20,23,15,5,3,1,5
428,75,54,81,65,68.75,14,3,15,13,11,34,46,19,1,1,7,6
429,29,42,79,41,47.75,-3,5,5,1,17,17,18,29,-1,0,5,6
430,8,80,50,107,61.25,-8,14,9,16,0,3,24,24,-5,6,4,3
431,101,105,99,105,102.50,3,19,13,17,18,53,10,22,-4,5,6,9
432,88,123,103,74,97.00,21,-1,14,9,37,13,16,3,4,4,4,3
433,89,91,108,121,102.25,20,20,2,17,12,10,21,15,9,7,7,7
434,30,36,44,51,40.25,2,12,-3,15,14,17,14,42,3,1,-1,7
435,86,62,60,67,68.75,12,10,8,4,4,35,31,28,5,0,1,5
436,91,8,64,54,54.25,4,-8,21,4,36,0,3,12,9,-5,10,1
437,99,111,88,64,90.50,15,0,13,4,11,12,16,16,-1,3,-1,1
438,82,79,73,63,74.25,3,20,10,-3,15,15,17,26,3,5,1,1
439,80,97,89,31,74.25,14,12,11,2,24,6,21,7,2,5,1,-6
440,51,100,75,103,82.25,-1,16,18,9,34,11,0,17,2,6,2,5
441,86,56,55,65,65.50,4,2,11,6,19,31,21,13,1,2,0,4
442,65,63,52,80,65.00,3,1,-6,11,38,32,17,6,-1,2,3,3
443,69,92,42,85,72.00,13,14,-5,6,17,53,17,12,6,5,2,-2
444,71,82,60,57,67.50,13,8,7,8,12,19,11,21,0,9,-1,-1
445,69,97,93,112,92.75,5,19,16,14,8,49,8,9,1,6,5,5
446,90,59,80,111,85.00,4,-3,12,4,35,23,18,12,7,2,10,5
447,96,5,64,65,57.50,9,-9,5,15,22,0,20,11,4,-6,5,6
448,83,96,97,82,89.50,8,12,20,8,40,36,22,9,0,3,7,1
449,95,51,108,53,76.75,-2,4,15,-3,1,31,26,14,1,1,6,6
450,92,57,70,94,78.25,15,17,-8,18,11,39,3,51,7,10,1,9
451,104,113,104,77,99.50,-1,22,10,10,32,26,21,22,4,12,5,6
452,38,96,93,75,75.50,10,14,20,9,30,1,19,15,3,2,10,1
453,81,65,94,102,85.50,11,14,13,9,19,28,12,19,6,8,0,6
454,81,84,55,63,70.75,17,6,1,11,22,35,14,29,5,3,-1,7
455,65,80,86,63,73.50,5,20,4,-1,14,30,18,14,5,8,4,5
456,131,78,63,74,86.50,16,16,6,7,5,46,5,31,3,4,8,7
457,126,57,76,103,90.50,13,12,12,14,25,7,20,21,6,2,-4,4
458,80,61,80,116,84.25,2,14,14,23,8,23,49,42,4,5,3,9
459,67,91,100,102,90.00,16,5,13,9,22,25,11,25,2,1,4,1
460,97,78,97,101,93.25,18,8,19,0,10,8,32,18,6,4,5,4
461,54,30,42,43,42.25,15,-2,4,15,19,31,36,56,2,-4,5,12
462,67,119,62,106,88.50,13,17,2,18,10,8,15,29,3,7,0,10
463,79,69,56,71,68.75,17,12,-6,-5,9,2,30,28,6,10,1,4
464,96,57,103,40,74.00,6,8,11,-2,9,9,16,35,5,5,9,0
465,43,122,87,83,83.75,6,15,14,-3,0,33,8,6,-6,4,2,6
466,119,53,98,79,87.25,18,7,23,1,18,23,34,14,5,5,6,-1
467,46,84,81,118,82.25,12,5,18,8,1,36,34,21,-6,6,6,3
468,98,75,97,85,88.75,18,16,0,19,16,43,32,35,4,13,3,6
469,64,88,106,81,84.75,15,11,10,8,18,18,24,14,5,4,6,4
470,110,100,126,96,108.00,9,12,19,15,16,25,34,46,5,10,9,14
471,66,64,69,118,79.25,16,-1,15,5,0,22,9,5,1,2,9,2
472,71,6,64,49,47.50,-1,-9,8,16,9,0,35,15,5,-6,4,9
473,75,56,71,94,74.00,11,5,-2,17,7,16,34,11,3,1,1,3
474,74,82,74,67,74.25,17,8,5,9,33,10,22,26,4,-1,2,4
475,99,71,80,66,79.00,19,9,8,-3,37,41,10,2,10,4,-1,2
476,76,72,103,89,85.00,12,9,19,8,12,21,26,1,5,5,5,6
477,95,79,81,98,88.25,18,3,7,3,27,28,16,21,9,2,6,3
478,79,51,75,100,76.25,-2,-7,21,7,19,12,15,22,4,0,12,4
479,45,79,95,76,73.75,3,10,16,1,11,15,15,11,-1,2,8,2
480,88,87,106,96,94.25,10,11,10,17,9,21,18,25,3,3,7,7
481,70,79,114,71,83.50,8,1,27,3,30,35,61,21,2,3,12,-1
482,92,68,69,61,72.50,2,13,13,12,17,22,16,23,3,6,6,5
483,66,71,76,78,72.75,9,2,17,-2,20,15,16,33,1,4,12,7
484,78,58,99,90,81.25,4,13,11,12,33,18,10,19,2,2,2,5
485,80,48,56,80,66.00,1,4,5,14,21,25,7,14,6,3,5,5
486,89,63,78,100,82.50,19,12,7,5,48,30,21,5,12,-6,5,5
487,88,46,57,35,56.50,13,0,7,2,14,11,31,28,9,3,1,5
488,85,89,101,77,88.00,14,8,14,16,17,19,13,22,6,3,8,5
489,53,93,95,89,82.50,-3,9,10,3,13,24,8,19,0,7,8,5
490,63,55,62,100,70.00,11,17,-7,14,18,1,14,23,-3,6,2,8
491,122,119,113,104,114.50,9,21,21,12,17,19,11,18,6,7,6,7
492,87,82,95,95,89.75,24,16,15,1,50,25,24,7,12,6,5,2
493,50,3,71,103,56.75,13,-9,-6,13,15,0,34,18,4,-6,5,7
494,75,62,60,23,55.00,4,7,14,0,8,14,16,20,2,1,4,0
495,65,101,77,99,85.50,14,21,7,14,11,13,37,13,10,11,4,5
496,52,71,92,50,66.25,9,7,16,6,26,23,8,33,-4,6,5,-1
497,88,70,93,103,88.50,9,9,17,11,9,32,29,36,3,1,7,7
498,79,84,86,76,81.25,11,5,15,11,5,4,14,27,3,5,3,4
499,68,93,68,67,74.00,14,3,-1,12,25,10,9,7,10,2,6,5
